"noun","n"
"모모",66
"쯔위",28
"사장님",25
"스탠딩",24
"오늘",23
"첫콘",18
"콘서트",18
"매니저",17
"시발",17
"모쯔",15
"서재페",11
"시간",11
"트갤",11
"군대",9
"사람",9
"네이션",8
"브이앱",8
"생일",8
"어디",8
"이번",8
"입갤",8
"팬시",8
"먹방",7
"뭔데",7
"서비스",7
"스포",7
"아보카",7
"언제",7
"우리",7
"응원법",7
"지효",7
"쯔위야",7
"쯔이",7
"콘서트때",7
"트와이스",7
"티켓",7
"하나",7
"효갤",7
"구역",6
"나연이",6
"노래",6
"버퍼링",6
"보닌",6
"쓰레기단",6
"영어",6
"올드보이",6
"전화",6
"체조",6
"토요일",6
"트붕이들",6
"틋피스",6
"핸드폰",6
"가능",5
"교환",5
"굿즈",5
"네이버",5
"다현",5
"못가",5
"문어",5
"소리",5
"슬로건",5
"실뜨기",5
"아이피",5
"영상",5
"원가양",5
"추천",5
"트바",5
"눈물",4
"대학",4
"댓글",4
"덮쯔",4
"라이브",4
"메이플",4
"몇시",4
"모춘기",4
"목소리",4
"뭔디",4
"본인",4
"사장",4
"새끼",4
"서버",4
"식당",4
"양도",4
"어그",4
"오빠",4
"웃기",4
"원가양도",4
"이면",4
"일요일",4
"입장",4
"자리",4
"잘먹는다",4
"저새끼",4
"좌석",4
"체조콘",4
"친구",4
"캔디봉",4
"크랩볼",4
"타멤충",4
"트붕이",4
"포카",4
"핑키",4
"홍보",4
"고척가능",3
"공트",3
"굿나잇",3
"기억",3
"나눔줄",3
"다님",3
"다현아",3
"단발",3
"당일",3
"드래곤",3
"레카",3
"마무리",3
"마음",3
"만원",3
"매니져",3
"매진",3
"면회",3
"모시간",3
"문제",3
"뮤비",3
"미드",3
"미트볼",3
"박수미",3
"반팔",3
"버닝썬",3
"번째",3
"분노글",3
"스탠딩갈",3
"스팟",3
"시발년",3
"신검",3
"아이폰",3
"아침",3
"안경",3
"안나",3
"알바누나",3
"압구정",3
"억뷰",3
"얼업",3
"없제",3
"예전",3
"와이파이",3
"왓럽",3
"왤케",3
"원탑",3
"의탠딩",3
"이걸",3
"이벤트",3
"이온워터",3
"인데",3
"인싸",3
"일본어",3
"작년",3
"장소",3
"정연",3
"직원",3
"쯔뭉이",3
"쯔위가",3
"쯔위는",3
"쯔이야",3
"차단",3
"청정수",3
"층갈까",3
"케이콘",3
"트갤은",3
"트시간",3
"트신맨님",3
"포스터",3
"하오쯔",3
"하트",3
"흑우",3
"흑우들",3
"가사",2
"감성",2
"갓세븐",2
"같다",2
"개월",2
"갤벤",2
"갤질",2
"갱이",2
"거울",2
"걱정",2
"결혼",2
"고고",2
"고나",2
"고무줄",2
"고싶은거",2
"공익",2
"군대가서",2
"궁금하네",2
"그것",2
"그런거",2
"그만보",2
"기분",2
"기차",2
"긴장함",2
"꾸준글",2
"나눔받으면",2
"나눔지도",2
"내꺼",2
"년차",2
"노래방",2
"눈팅안하",2
"눈팅하면",2
"다들",2
"다리",2
"다모",2
"다음",2
"다음날",2
"단체",2
"대리",2
"대만",2
"대박",2
"도박",2
"동생",2
"될거같은데",2
"딱봐도",2
"딸기",2
"딸기티",2
"떡밥",2
"떼창",2
"라이키",2
"라이트",2
"라쿠텐",2
"로데오",2
"마라탕",2
"마블",2
"마스터",2
"마지막",2
"맞음",2
"매니저들",2
"매니저뭐하냐고",2
"머리",2
"멘트",2
"멜론",2
"몇번",2
"모니터",2
"모모링",2
"모모폰",2
"모쯔한테",2
"무대",2
"문자",2
"뭔지",2
"바느질",2
"반바지",2
"발련들",2
"발음",2
"방송",2
"방송욕심",2
"버블티",2
"번대",2
"병신",2
"본부",2
"부담",2
"부분",2
"부탁",2
"불도저",2
"사랑해",2
"사장넘",2
"상황극",2
"생각",2
"생일충",2
"샤샤님",2
"서울",2
"서재패",2
"선글라스",2
"선언",2
"소식",2
"수미눈",2
"수정",2
"수제미트볼",2
"숙소",2
"스트레스",2
"신용카드",2
"실시간",2
"쓰레기통",2
"씹덕",2
"아끼는거",2
"아무것",2
"아보",2
"아싸",2
"안경쯔",2
"안보",2
"앨범",2
"어머니",2
"어짜피",2
"언니",2
"언박싱",2
"얼마",2
"엄마",2
"역대급",2
"영어담당",2
"영화",2
"예상",2
"예판포카",2
"오랜만",2
"오지",2
"옥수수",2
"올해",2
"완전",2
"왜저래",2
"월급",2
"윾시",2
"음식",2
"의상",2
"이노래",2
"이재용",2
"이지",2
"인사",2
"인싸들은",2
"일드",2
