"noun","n"
"라쿠텐",56
"오늘",33
"트와이스",26
"무대",24
"입갤",22
"트갤",22
"시발",21
"카라카",21
"팬시",20
"배틀트립",18
"스탠딩",18
"첫콘",17
"구역",16
"시간",16
"비공개",14
"현장",14
"영상",12
"이번",12
"포카",11
"사람",10
"콘서트",10
"생각",9
"일본",9
"트붕이들",9
"공연",8
"어디",8
"좆쿠텐",8
"하나",8
"공부",7
"공트",7
"떼창",7
"모모",7
"연대",7
"인질극",7
"티켓",7
"피날레",7
"기차",6
"노래",6
"다음",6
"스포",6
"쓰레기단",6
"얼굴",6
"엔딩",6
"영이",6
"예올예",6
"원스",6
"유동",6
"작년",6
"중계",6
"쯔위",6
"트붕이",6
"갤창포카",5
"걸그룹",5
"교환",5
"떡밥",5
"라인",5
"만원",5
"본부",5
"소리",5
"양도",5
"언제",5
"여기",5
"음중",5
"이걸",5
"이용자메모",5
"인터뷰",5
"최고",5
"친구",5
"컨셉",5
"퍄퍄",5
"혜자",5
"가수",4
"고소",4
"근대",4
"나라",4
"나중",4
"념글",4
"노기",4
"라인라이브",4
"런웨이",4
"로또",4
"링크",4
"마지막",4
"메모",4
"멜론",4
"몇시",4
"뭔데",4
"방송",4
"보닌",4
"본인",4
"분위기",4
"사람들",4
"사실",4
"슬로건",4
"안나오",4
"연락처",4
"연세대",4
"영화",4
"오랜만",4
"움짤",4
"유튜브",4
"유행어",4
"정연",4
"츠기와",4
"트갤럼",4
"트갤이",4
"트둥이들",4
"페북",4
"폴라",4
"하네",4
"현장러",4
"감사",3
"개시발",3
"갤로그에",3
"고화질",3
"그랜드",3
"기분",3
"나오는거",3
"낚시",3
"남자",3
"다들",3
"다현",3
"담주",3
"댓글",3
"딜레이",3
"레전드",3
"맞인사",3
"뭐하노",3
"사나시",3
"새끼들",3
"선물",3
"스밍",3
"시발놈",3
"시작",3
"아침",3
"어제",3
"얼업",3
"에혀",3
"여자",3
"연대생",3
"오지",3
"왤케",3
"외국",3
"우리",3
"원가양",3
"의상",3
"이상",3
"이온워터",3
"일본방송",3
"일본어",3
"쟈나이",3
"저새끼",3
"정도",3
"좌표",3
"지능",3
"차단",3
"참수영상",3
"추천",3
"추천좀",3
"충격",3
"치킨",3
"카드",3
"캔디봉",3
"케이콘",3
"트갤에",3
"트둥이",3
"트와이스데스",3
"편돌이",3
"하이",3
"현실",3
"형님",3
"화질",3
"후보",3
"가능",2
"개추댓",2
"갤러리",2
"거들",2
"거찍리스트",2
"게임",2
"고인물",2
"관심",2
"구매",2
"군대",2
"굴삭기",2
"권아솔",2
"그걸",2
"그것",2
"그새끼",2
"급식단",2
"기자",2
"기자카",2
"기차요청",2
"나봉시",2
"나올거",2
"내년",2
"너네",2
"네이버",2
