"noun","n"
"스탠딩",28
"콘서트",26
"오늘",22
"구역",21
"첫콘",20
"양도",14
"굿즈",13
"캔디봉",13
"이번",12
"트갤",12
"시발",10
"원스",9
"찍덕",9
"틋피스",9
"현장",9
"노래",8
"레카",8
"무대",8
"어디",8
"커버",8
"교환",7
"다현",7
"사람",7
"사진",7
"자리",7
"트와이스",7
"티켓",7
"품절",7
"류현진",6
"시작",6
"응원법",6
"작년",6
"크롭티",6
"갤러리",5
"기어오지좀",5
"버러지들",5
"보닌",5
"슬리브",5
"언제",5
"원트",5
"이번콘",5
"이유",5
"정연",5
"케이콘",5
"퇴물년들빠는한남충",5
"트갤에",5
"포카",5
"하나",5
"한번",5
"구역인데",4
"당일날",4
"대리",4
"모모",4
"민초",4
"사실",4
"슬로건",4
"얼마",4
"여덕",4
"여자",4
"예스",4
"온라인",4
"원가양도",4
"위드",4
"입장",4
"제목",4
"지효",4
"쯔위",4
"키싱유",4
"투표",4
"틋스타",4
"파우치",4
"피땀눈물",4
"가능",3
"개추좀",3
"갤벤",3
"구디봉",3
"나연",3
"네이버",3
"덮나파",3
"떼창",3
"막대사탕",3
"매진",3
"멤버",3
"바탕화",3
"본인",3
"사이즈",3
"새끼",3
"새벽",3
"생각",3
"스탠딩때",3
"아아아아아",3
"애즈원",3
"어제",3
"여권지갑",3
"영이",3
"예전",3
"오프",3
"왓럽",3
"우리",3
"원가이하",3
"원가이하양",3
"이번주",3
"이벤트",3
"이상",3
"일본",3
"입갤",3
"저놈",3
"종이",3
"찍덕들",3
"차단",3
"총대",3
"추천좀",3
"치킨",3
"팝송",3
"팬미",3
"펜스",3
"할로윈",3
"휴지",3
"힌트",3
"가격",2
"갓세븐",2
"강의",2
"개떡상했네",2
"갤록에",2
"거절해",2
"게스트",2
"고민",2
"고졸",2
"곱창",2
"교통사고",2
"교환해주",2
"구매",2
"구분",2
"근처",2
"기억",2
"깊갤",2
"나봉시",2
"나연이",2
"날씨",2
"내일",2
"냄새",2
"노잼",2
"눈치",2
"다들",2
"대가",2
"댓글",2
"덕새끼",2
"둡쿠",2
"떡고",2
"떡밥",2
"롯데리아",2
"릴리릴리",2
"만원",2
"머리",2
"멜론",2
"모모시",2
"문제",2
"물뿌리는거",2
"발기부전치료제",2
"방러",2
"방석",2
"버스",2
"버전",2
"번호",2
"병신",2
"병신들",2
"봄날",2
"부채",2
"분위기",2
"비밀원스",2
"사나시",2
"사나옆",2
"사수생",2
"사이드",2
"사전",2
"사탕",2
"샀다",2
"새끼들",2
"샤갤",2
"서울",2
"선택해",2
"설명",2
"소녀시대",2
"소리",2
"솔찍히",2
"수록곡",2
"스팟",2
"스포",2
"시간",2
"신기함",2
"신분증",2
"실화",2
"아무",2
"아원츄백",2
"아침",2
"안녕하",2
"애프터문",2
"야채곱창",2
"양도함",2
"얘기",2
"얼굴",2
"에스티로더",2
"여기",2
"여덕들",2
"여드름",2
"영어",2
"영향력",2
"영화",2
"예판",2
"오후",2
"옷걸이",2
"완전",2
"요기요",2
"우아",2
"운동",2
"울와콘",2
"울컥함",2
"월요일",2
"유동",2
"윾시",2
"응올응",2
"인데",2
"인터파크",2
"일본어",2
"저희",2
"전체적",2
"제왑",2
"젤리",2
"젯디봉",2
"조심히강",2
"좌석",2
"주간인기상",2
"지원",2
"지효시",2
"챙이",2
"초코민트",2
"추천",2
