"noun","n"
"½ºÅÄµù",263
"¿À´Ã",187
"ÄµµðºÀ",145
"±¸¿ª",111
"Ã¹ÄÜ",78
"ÄÜ¼­Æ®",78
"±ÂÁî",63
"ÁÂ¼®",61
"Æ¼ÄÏ",57
"½Ã¹ß",53
"½Ã°£",46
"¸î½Ã",44
"±³È¯",43
"»ç¶÷",42
"ÀÀ¿ø¹ý",42
"ÀÌ¹ø",42
"ÀÇÅÄµù",40
"Æ÷Ä«",38
"À½Áß",36
"Ç°Àý",36
"ÀÔÀå",34
"¹Í½º",33
"ÀÀ¿ø",33
"±ÂÁîÁÙ",31
"¾îµð",31
"Æ¶ÇÇ½º",31
"½½·Î°Ç",30
"Æ®°¶",28
"³»ÀÏ",27
"¾çµµ",27
"Á¬µðºÀ",27
"ÁöÈ¿",26
"±¸µðºÀ",22
"¾Æ¹«",21
"Ã¼Á¶",21
"³ë·¡",20
"¸¸¿ø",20
"¹ø´ë",20
"Æ®¿ÍÀÌ½º",20
"¸ð¸ð",19
"¾ðÁ¦",19
"ÀÚ¸®",19
"´ÙÇö",18
"µµÂø",18
"¹«´ë",18
"¹°Ç°º¸°ü¼Ò",18
"Ææ½º",18
"¹øÈ£Ç¥",17
"»çÁø",17
"ÀÔ°¶",17
"Áß·¯",17
"Æ®ºØÀÌ",17
"µþ±â",16
"Á¤¿¬",16
"ÇöÀå",16
"Áú¹®",15
"ÆÈÂî",15
"º¸´Ñ",14
"½ºÅä¾î",14
"¿ø½º",14
"À¸·Î",14
"ÀÌ¹øÄÜ",14
"ÀÎµ¥",14
"°ÇÀüÁö",13
"¸¶Áö¸·",13
"½ÃÀÛ",13
"ÀÏ¿äÀÏ",13
"°¡´É",12
"´Ùµé",12
"·¹Ä«",12
"¿©±â",12
"ÆÒ½Ã",12
"±ÂÁî¼¥",11
"µ¥ÀÌÅÍ",11
"¹ºµ¥",11
"¹Ô¾Ø±×¸´",11
"»õ³¢",11
"»ý°¢",11
"¿¬°á",11
"¿Ü±¹",11
"Áß°è",11
"ÄÜ¼­Æ®Àå",11
"Æ®ºØÀÌµé",11
"ÆÄµµÅ¸±â",11
"¸î½Ã°£",10
"¹éÆÑ",10
"¹øÈ£",10
"ºÎ½º",10
"¾Èº¸",10
"¾ÞÄÝ",10
"¿ø°¡¾çµµ",10
"ÀÌº¥Æ®",10
"ÁÖº¯",10
"ÁöÇÏÃ¶",10
"Áú¹®Á»",10
"Æä¾î¸µ",10
"ºÐÀ§±â",9
"¼Ò¸®",9
"¼Óº¸",9
"¼îÆÛ¹é",9
"Á©¸®",9
"ÄÜ¸øÂð",9
"ÅÍÄ¡´Ù¿îÁÂ",9
"°¡¹æ",8
"°ÆÁ¤",8
"³¯¾¾",8
"»ç¶÷µé",8
"¼­ÀçÆä",8
"¼ö·Ï°î",8
"½ºÅÄ",8
"½ºÅÙµù",8
"¿ÖÀÌ",8
"¿ìÈÄ",8
"À¯´Ö",8
"Àü³¯Ãæ",8
"ÁöÁ¤¼®",8
"ÆÄ¿À¿î",8
"ÇÏ³ª",8
"È­Àå½Ç",8
"±ÙÃ³",7
"³¿»õ",7
"´ºµðºÀ",7
"¶¼Ã¢",7
"¹®Á¦",7
"¹ÚÁ¦",7
"¹èÅÍ¸®",7
"º»ÀÎ",7
"½ºÅÎ",7
"½Ã¾ß",7
"½Å°î",7
"¾ÈÇØ",7
"¿©´ö",7
"¿µ»ó",7
"¿ÀÈÄ",7
"ÀÌÀ¯",7
"ÀÛ³â",7
"Á¤µµ",7
"Á©¸®µé",7
"Áß¾Ó",7
"ÂêÀ§",7
"ÄµµðºÀÁÙ",7
"ÅÏÀÕ¾÷",7
"Åð±Ù±æ",7
"°ø¿ª",6
"°ø¿¬Àå",6
"°øÆ®",6
"³ª¿¬ÀÌ",6
"¶óÀÌºê",6
"·¹Àüµå",6
"¸ÂÀÎ»ç",6
"¸ÅÁø",6
"¸â°¶",6
"¸ðÂî",6
"¹Ì±Ï¹æ¼®",6
"¹ö½º",6
"¼­¿ï",6
"¼¿Ä«ºÀ",6
"¾çµµ±¸ÇÕ´Ï",6
"¿¬½À",6
"¿µÁß·¯",6
"¿·ÀÚ¸®",6
"¿ì¾Æ",6
"À¯´Ö¹«´ë",6
"ÀÀ¿øºÀ",6
"ÀÀ¿ø¼Ò¸®",6
"ÀÏº»",6
" ©µðºÀ",6
"Áß°£",6
"Ã¼Á¶°æ±âÀå",6
"ÃßÃµÁ»",6
"ÄÁ¼Á",6
"ÅÍÄ¡´Ù¿î",6
"ÇÊ¿ä",6
"°ÅÀÇ",5
"°Ô½ºÆ®",5
"°ø¿¬",5
"±¸¿ª¿¡¼­",5
"±ÂÁî¼¥¿¡",5
"´ÙÀ½",5
"µÓ°¶",5
"µÞÆæ½º",5
"¸àÆ®",5
"¸â¹ö",5
"¸î¹ø",5
"¸ð·¹ÀÌ´×º¹",5
"¸ñ¼Ò¸®",5
"¸ö½Î¿ò",5
"¹Ú½º¼®",5
"¹ÝÀÀ",5
"¹éÆÑÃæ",5
"º´½Å",5
"º´½Åµé",5
"ºÐÇâ¼Ò",5
"¼­¼­",5
"¼Â¸®",5
"¼Ò¶Ë",5
"½Ã±×³Î",5
"¾Æ³ë¶ô",5
"¾ÈÇÔ",5
"¾ÖÇÁÅÍ¹®",5
"¾çµµ±¸ÇØ¿ä",5
"¾çµµÇÏ¸é",5
"¾ó¸¶",5
"¾ö¸¶",5
"¿µÁß",5
"¿ÀÇÁ´×",5
"¿Ê°ÉÀÌ",5
"¿ì¸®",5
"¿ø°¡¾ç",5
"¿ø½ºµé",5
