"noun","n"
"좆목이",2
"좆민",2
"좆은좆리다",2
"좌석",2
"죽음",2
"지금너에",2
"지분",2
"진지",2
"찍덕들",2
"찍덕짤",2
"처음",2
"첫글",2
"총대",2
"최애",2
"추천",2
"취소",2
"캔디팝",2
"커버해주",2
"컨셉",2
"컴백",2
"케이콘도",2
"코튼캔디",2
"콘굿",2
"콘굿즈",2
"콘서트때",2
"퀵스냅은",2
"크롭탑이다",2
"크롭티는",2
"킹디팝",2
"타이틀곡",2
"텀블러",2
"톡하는애들",2
"트갤은",2
"트갤을",2
"트붕쨩",2
"틋토리",2
"판매",2
"팬레터",2
"팬싸",2
"펜스",2
"평소",2
"포인트안무",2
"포카바인더",2
"포토북",2
"폰케이스",2
"표현",2
"품절",2
"플미",2
"피켓",2
"필요한거",2
"하는거",2
"하루",2
"하면서",2
"한개",2
"한거",2
"한국어버젼",2
"한데",2
"할팬미",2
"합동무대",2
"혼자",2
"효갓이는",2
"효는갓리다님",2
"후배돌이",2
"휴지스포",2
"휴지통",2
"가관",1
"가까이",1
"가사",1
"가아지옷",1
"가운데쪽",1
"가입한사람",1
"가자규",1
"가정",1
"가져오지좀",1
"가족석",1
"가지",1
"각오",1
"간이의자쓰",1
"갈빠엔",1
"갈수",1
"갈쳐줘",1
"감동주는거",1
"감동코드",1
"감사",1
"갑분",1
"갓능성없냐",1
"갓본어",1
"갓세븐",1
"갓직히",1
"갔나보네",1
"강남누나들",1
"강동즈",1
"같긴",1
"같노",1
"같비",1
"같은데",1
"같은수준이야",1
"같은팀이다",1
"개같은",1
"개귀엽",1
"개꿀",1
"개꿀잼갤이였노",1
"개념",1
"개념글",1
"개다리",1
"개듣보년들",1
"개듣보들",1
"개떡락",1
"개라",1
"개마",1
"개마니",1
"개많네",1
"개발",1
"개밝너",1
"개병신흑우팬코새끼없지",1
"개사",1
"개새끼들",1
"개선점",1
"개소리",1
"개씨발",1
"개씹상남자",1
"개어이업노",1
"개언제다집에가져오지",1
"개이쁘",1
"개추",1
"개쿠텐땜에",1
"개편하누",1
"갠맨충새끼들도",1
"갤럼들아",1
"갤록닫아야겟다",1
"갤록에",1
"갤록유도해놓고",1
"갤밴하면",1
"갤주분들",1
"갤주픽인데",1
"갤창",1
"갤창포카",1
"갤하는데",1
"걍다",1
"걍비싸게받고",1
"걍온판으로사면되지",1
"거기너아팬시유",1
"거르는거",1
"거르는거보면",1
"거르는새끼는",1
"거를예정",1
"거리",1
"거북코",1
"거실",1
"거의안하는데",1
"거절해",1
"거찍될만한",1
"거찍리스트를",1
"거찍리스트에",1
"거찍이아니라",1
"거찍짤",1
"걱정",1
"건전지",1
"건전지끼",1
"걸그룹노래",1
"걸그룹분",1
"걸레년",1
"걸려있겠너",1
"걸리는거여",1
"검사",1
"검사함",1
"검은송아지없젱",1
"검응거로살까",1
"겁먹었노",1
"게걸그룹",1
"겨론충",1
"격투기선수",1
"견적짰는데",1
"결심",1
"결제문자",1
"결혼충에",1
"결혼충이",1
"결혼해",1
"경우",1
"경제적",1
"경찰도아",1
"경험담좀",1
"계속해",1
"고기국물보단",1
"고나리안먹고",1
"고닉",1
"고닉달았으면",1
"고닉새끼들",1
"고닉새끼들이",1
"고닉판지",1
"고독방",1
"고려했노",1
"고민대내",1
"고민되",1
"고민안해",1
"고백",1
"고생",1
"고생해서",1
"고소미",1
"고소하",1
"고싶당",1
"고아",1
"고인",1
"고전게임버전",1
"고척돔근처",1
"고화질",1
"곡더해야지",1
"곡수",1
"곡안하면",1
"곡정도하겟지",1
"곡주더니",1
"곡하는게",1
"곡하는데",1
"곡해야지",1
"곡햇으니",1
"곤장쳐맞아야겠누",1
"골라주셈",1
"공구갤러리들",1
"공기반소리반인거",1
"공부",1
"공식슬로건을쓰는게낫다",1
"공약",1
"공연",1
"공트없냐",1
"공포",1
"공포컨셉",1
"공항블랙",1
"공항영상",1
"과거",1
"과목",1
"과자",1
"관련",1
"관심",1
"관심도",1
"관종",1
"광고",1
"광고주님",1
"교세라돔못간게",1
"교통비",1
"구경",1
"구구단",1
"구매목록",1
"구매하면",1
"구매할예정",1
"구매해도",1
"구입체크리스트",1
"구처넌",1
"구해줘홈즈",1
"국군도수체조생각나",1
"국내중계",1
"국내콘",1
"국내콘도",1
"국민참여재판",1
"국방부",1
"국자",1
"국제",1
"군들이",1
"굴삭",1
"굴삭기",1
"굴삭기뭐",1
"굿모닝",1
"굿즈가",1
"굿즈깔끔",1
"굿즈떴다",1
"굿즈로",1
"굿즈를여덕위주로",1
"굿즈리스트임",1
"굿즈부스",1
"굿즈사고",1
"굿즈사세요",1
"굿즈샵",1
"굿즈에",1
"굿즈에대한",1
