"noun","n"
"스탠딩",25
"첫콘",19
"콘서트",18
"트갤",18
"이번",16
"이온워터",16
"포카",16
"오늘",14
"캔디봉",13
"굿즈",10
"인원모집",10
"사람",9
"서재페",8
"원가양",8
"지니",8
"구역",7
"노래",7
"시발",7
"일본",7
"틋스타",7
"팬싸",7
"본인",6
"앨범",6
"어그",6
"정연",6
"지효",6
"치즈김밥",6
"콘서트때",6
"트와이스",6
"만원",5
"명단",5
"바퀴벌레",5
"삭제",5
"새끼",5
"아이피",5
"어디",5
"우리",5
"유동",5
"음원",5
"이벤트",5
"좆카리",5
"중단",5
"티켓",5
"관심",4
"꾸준글",4
"대리구매",4
"두개",4
"메이플",4
"몇시",4
"슬로건",4
"시간",4
"아이리버",4
"올제잘",4
"올해",4
"왜이",4
"자리",4
"정모",4
"질문",4
"틋피스",4
"하루",4
"확률",4
"가능",3
"갤창포카",3
"검색",3
"급식충",3
"나갤",3
"나연이",3
"날씨",3
"담배피",3
"대리",3
"떡밥",3
"렌틸",3
"만난거",3
"망망망",3
"망빤시",3
"망올망",3
"멜론",3
"멤갤",3
"보닌",3
"사나시",3
"사실",3
"서울",3
"서재패",3
"실검",3
"싱글",3
"아이폰",3
"언제",3
"여기",3
"연간",3
"영상",3
"원가양도",3
"윾시",3
"인싸새끼들",3
"입갤",3
"작년",3
"전체",3
"제망",3
"지관통",3
"총대임명권",3
"추천",3
"트레이딩카드",3
"트윗",3
"팬시",3
"한번",3
"형님들",3
"후배",3
"같은거",2
"갤질",2
"갤창시상식",2
"갱이",2
"거들",2
"공지",2
"교환",2
"구매",2
"국화꽃하나",2
"그랜드체이스",2
"근처",2
"꿀팁",2
"나눔자리",2
"나눔장소",2
"나눔줄",2
"나봉시",2
"나봉쓰",2
"나트륨",2
"냉장고",2
"너네",2
"다님",2
"다들",2
"당첨",2
"대리고닉",2
"대학",2
"두부",2
"딸기",2
"떡밥돌리",2
"똠장난이",2
"라면드",2
"맨날",2
"몇시간",2
"모레",2
"모모",2
"모모시",2
"모시모시",2
"무등급",2
"뭔가",2
"뭔데",2
"미안해",2
"바인더",2
"반고닉",2
"발주",2
"번대",2
"번대구함",2
"복구",2
"분위기",2
"분할",2
"불량",2
"사나파트",2
"사랑해",2
"사진",2
"새끼들",2
"생각",2
"세븐넷",2
"쇼핑백",2
"스냅챗",2
"스밍",2
"스크",2
"스탬프",2
"시바",2
"시발아",2
"실수",2
"쓰래기",2
"아무",2
"아줌마",2
"아침",2
"악개짓",2
"액자",2
"야구장갈",2
"양도",2
"양도함",2
"어떠",2
"어제",2
"얼굴",2
"없시",2
"여덕들",2
"여러분",2
"여름",2
"연간기록",2
"연간차트",2
"옆머리",2
"예상",2
"오프닝",2
"오후",2
"와꾸는",2
"왓럽",2
"원인어밀리언",2
"원트",2
"이것",2
"이번콘",2
