"noun","n"
"콘서트",41
"첫콘",32
"스탠딩",29
"캔디봉",22
"트갤",22
"사람",18
"오늘",15
"구역",14
"응원법",14
"게스트",13
"시발",13
"좌석",13
"트와이스",13
"시간",12
"이번",12
"교환",11
"질문",11
"티켓",11
"구디봉",10
"뉴디봉",10
"인원모집",10
"전날충",10
"굿즈",9
"몇시",9
"자리",9
"틋피스",9
"건전지",8
"스포",8
"트신맨",8
"렌티큘러",7
"반바지",7
"보닌",7
"우리",7
"입장",7
"작년",7
"철합니",7
"하나",7
"홀더",7
"가능",6
"공트",6
"긴팔",6
"밋앤그릿",6
"번대",6
"서울",6
"수치플",6
"어디",6
"찍덕들",6
"트갤에",6
"트붕이들",6
"날씨",5
"내일",5
"서재페",5
"얼굴",5
"원스",5
"유동",5
"이온워터",5
"이유",5
"인데",5
"젯디봉",5
"주변",5
"체조경기장",5
"포카",5
"현장",5
"흑우",5
"공구",4
"근처",4
"물품보관소",4
"반팔",4
"보배",4
"부계",4
"삼겹살",4
"새끼",4
"서버",4
"순대국밥",4
"순대국집",4
"스토어",4
"슬로건",4
"양도",4
"연습",4
"입갤",4
"처음",4
"체조",4
"추천좀",4
"토요일",4
"펜스",4
"하는거",4
"확인",4
"갤창포카",3
"걸그룹",3
"공무원",3
"공무원스",3
"공무원형",3
"공식원스아닌데",3
"구경",3
"굿즈샵",3
"꾸준",3
"나눔장소",3
"다리털",3
"들아",3
"막콘날",3
"만원",3
"맞인사",3
"모모",3
"뭔가",3
"백팩",3
"버전",3
"번째",3
"본인",3
"사랑해",3
"사이드",3
"사진",3
"새벽",3
"생각",3
"소똥",3
"소똥들",3
"순대국",3
"순대국밥집",3
"아침",3
"안함",3
"얘기",3
"어제",3
"여러분",3
"여자",3
"오프",3
"오프닝",3
"오프닝곡",3
"오후",3
"올림픽공원",3
"원가양",3
"윾시",3
"음중",3
"응원",3
"이상",3
"일요일",3
"주말",3
"주차",3
"준비물",3
"진행요원",3
"쯔위",3
"찍덕",3
"천원",3
"체조앞",3
"체조콘",3
"캔봉",3
"콘서트장",3
"트붕이",3
"파우치",3
"품절",3
"필요",3
"현장수령",3
"가능해",2
"가방들",2
"개시발",2
"개월",2
"갤벤",2
"거기",2
"고터",2
"공가",2
"공식원스",2
"공연",2
"공원",2
"공이",2
"구걸신라충",2
"구걸하면",2
"구매",2
"구석",2
"굴삭기",2
"굿즈사러",2
"굿즈살거",2
"굿즈스토어",2
"근대",2
"글삭",2
"급식충",2
"급행",2
"기분탓",2
"긴팔반바지",2
"까지",2
"나눔위치",2
"나연이",2
"남자",2
"남한",2
"내꺼",2
"내일틋피스",2
"념글",2
"다들",2
"당첨",2
"당첨자",2
"대리",2
"대리구매",2
"대표",2
"데오드란트",2
"도착",2
"도착예정",2
"도착하면",2
"도착할거",2
"돌출무대쪽",2
"든든",2
"들이",2
"딸기",2
"딸기티",2
"라커풀",2
"레카",2
"마지막",2
"막콘러",2
"망왑",2
"망원경",2
"머리",2
"몇시간",2
"못가",2
"무대",2
"문제",2
"물량",2
"미나시",2
"미래",2
"민폐",2
"박자",2
"배터리",2
"버스",2
"병신",2
"불도저",2
"브라",2
"비대칭",2
"뼈해장국",2
"사나시",2
"사람들",2
"상관",2
"상처",2
"서재패",2
"선셋",2
"수록곡",2
"스밍",2
"스포충",2
"시반에",2
"시에가면",2
"시작",2
"아노락",2
"아이돌",2
"안나",2
"안나오",2
"앨범",2
"앵콜때",2
"양도구함",2
"양도구합니",2
"양도글",2
"양도할",2
"어그",2
"언제",2
"얼마만",2
"에코백",2
"예매",2
"예올예",2
"예정",2
"예측",2
"오전",2
"완충",2
"원트",2
"원트가",2
"월요일",2
"위치",2
"윈도우",2
"으로",2
"이름",2
"이번주",2
"이용",2
"인디",2
"인증안",2
"인터넷",2
"일본",2
"임나연",2
"자면됨",2
"장소",2
"저열함",2
"점심",2
"정보",2
"정연",2
"제트봉",2
"줄임말",2
"중앙좌석",2
"지도",2
"지하철",2
"지효시",2
"직거래",2
"질문좀",2
"차단",2
"차대절",2
"챙순대국",2
"챙이",2
"첫사랑",2
"첫콘도",2
"체크",2
"초대권",2
"추천",2
"출발",2
"치즈김밥",2
"캔디봉사",2
"커버곡",2
"콘서트가면",2
"쿨패치",2
"턴잇업",2
"테이블",2
"텐트",2
"텐트치",2
"토스",2
"트갤럼들",2
"트갤에서",2
"트갤은",2
"트갤이",2
"트레이딩카드",2
"판매",2
"팬시",2
"팬티",2
"평가좀",2
"폐장시간",2
"하루",2
"하루종일",2
"한명",2
"한번",2
"해투",2
"혼자",2
"확정",2
"가격뭔데",1
"가격비교",1
"가넹",1
"가능한사람",1
"가면되",1
"가방",1
"가방둘",1
"가서",1
"가야",1
"가온차트갤",1
"가입",1
"가입어캐하냐",1
"가작정",1
"가져갈꺼",1
"가져갈넘",1
"가족",1
"가족타령",1
"가피방",1
"각질",1
"각질제거",1
"갈라",1
"감당",1
"갓거킹",1
"강남",1
"강정",1
"같이봐",1
"개꿀따리",1
"개꿀띠",1
"개꿀잼",1
"개돼지새기들이",1
"개떨린당",1
"개로피지",1
"개마싯다",1
"개빨리끝나가네",1
"개샀는데",1
"개색기",1
"개샛기들아",1
"개소리",1
"개스트하니까",1
"개쓰레기겜댐",1
"개씹쌔끼들",1
"개월차",1
"개잇음",1
"개재밌겠네",1
"개좃똥똥똥노잼이라",1
"개좃밥",1
"개좆",1
"개지리는데",1
"개추누르는넘들은",1
"개추댓박아",1
"개추댓좀",1
"개편하노",1
"개화날듯",1
"갤갤되농",1
"갤갤먼데",1
"갤러들중에",1
"갤러리",1
"갤럼들",1
"갤럼들아",1
"갤로그로",1
"갤로그에써드림",1
"갤록가린놈들",1
"갤록안볼고",1
"갤벤하는지",1
"갤질",1
"갤질하는",1
"갤창",1
"갤창고닉들",1
"갤창아니면",1
"갱신",1
"거울볼",1
"거지",1
"거찍리스트",1
"건강한",1
"건저지도",1
"걸릴거같네",1
"검은색인건",1
"검정색",1
"게이",1
"게임",1
"게임중독",1
"겜하러간다",1
"겜할때",1
"결과",1
"경기장",1
"경비",1
"경비아저씨",1
"경찰온",1
"계절밥상거",1
"계정",1
"계획",1
"고갈테",1
"고기만두",1
"고나",1
"고너",1
"고닉갤된",1
"고닉이름",1
"고닉파면",1
"고대",1
"고딩",1
"고딩이",1
"고민",1
"고민중",1
"고백",1
"고싶은거",1
"고터라",1
"고터역",1
"고통",1
"곡도하",1
"곡하는게",1
"공감",1
"공공장소가서",1
"공구및",1
"공근처",1
"공근쳐",1
"공기밥",1
"공도가고",1
"공못찐",1
"공무",1
"공방가면",1
"공방을뛰어본적이없어서",1
"공부안해도",1
"공역",1
"공연시작시간",1
"공장순대",1
"공점",1
"공주변이",1
"공지",1
"공지같은거",1
"공지뜸",1
"공진단",1
"과거",1
"과학기술",1
"관객",1
"관객유입",1
"관련",1
"관음할생각하니",1
"관종짓",1
"교한해",1
"교환구해봅니다",1
"교환원해요",1
"교환할",1
"교환해도",1
"구걸",1
"구더기나",1
"구라핑",1
"구성",1
"국밥",1
"국밥리스트",1
"국밥말러갓다",1
"국밥집",1
"국밥짤",1
"군대",1
"군대갈",1
"군머가면",1
"군지적금",1
"굳즈스토어도",1
"굴팁",1
"굿즈나눔",1
"굿즈사고",1
"굿즈스토어도",1
"굿즈스토어랑",1
"굿즈줄",1
"굿즈줄이랑",1
"궁금증",1
"궁금한거",1
"궁금한게",1
"귀찮은데",1
"귯즈사러가고싶은데",1
"그것",1
"그곡",1
"그기묘한놈들이랑",1
"그리아셈",1
"그림좀",1
"그주변에서",1
"근데순대국",1
"글거보니",1
"글만쓰지말고",1
"글보관하셈",1
"글올렸는데",1
"글올리네",1
"금공강아닌",1
"급식때",1
"급식비중",1
"긍데",1
"기계",1
"기다리고잇엇는데",1
"기달려야함",1
"기대되농",1
"기레기년",1
