"noun","n"
"오늘",309
"스탠딩",234
"어제",135
"구역",118
"캔디봉",114
"콘서트",81
"시발",78
"좌석",71
"첫콘",69
"교환",48
"음중",47
"응원법",47
"슬로건",45
"의탠딩",45
"사람",44
"어디",44
"굿즈",40
"포카",39
"다현",38
"시간",37
"몇시",36
"원스",36
"중러",34
"트갤",34
"티켓",34
"응원",33
"으로",32
"펜스",32
"하나",31
"입장",28
"이번",27
"아무",26
"언제",25
"젯디봉",25
"입갤",24
"영상",23
"퇴근길",23
"마지막",21
"모찌",21
"번호",21
"본인",21
"트와이스",21
"건전지",20
"생각",20
"딸기",19
"떼창",19
"레카",19
"맞인사",19
"양도",19
"지효",19
"가능",18
"소감",18
"여덕",18
"체조",18
"노래",17
"모모",17
"사진",17
"여기",17
"팬시",17
"무대",16
"이벤트",16
"트붕이",16
"굿즈줄",15
"도착",15
"영중",15
"정연",15
"구디봉",14
"나연",14
"뉴디봉",14
"밋앤그릿",14
"앵콜",14
"우리",14
"이번콘",14
"층앞열",14
"내일",13
"냄새",13
"다음",13
"떡고",13
"레전드",13
"버스",13
"소리",13
"스턱",13
"트붕이들",13
"양도구함",12
"옆자리",12
"차대절",12
"컴백",12
"크롭티",12
"터치다운",12
"팔찌",12
"화장실",12
"데이터",11
"서재페",11
"우후",11
"이유",11
"자리",11
"중앙",11
"지하철",11
"질문",11
"카메라",11
"크트",11
"호선",11
"국내",10
"년차",10
"다들",10
"대박",10
"둡갤",10
"물품보관소",10
"사랑해",10
"시작",10
"양도함",10
"올제잘",10
"첫콘은",10
"캔디봉포카",10
"갤럼",9
"공구",9
"굿즈샵",9
"나연이",9
"다님",9
"라이브",9
"목소리",9
"서재패",9
"아이즈원",9
"아재",9
"에서",9
"외국",9
"의탠",9
"인데",9
"찍덕",9
"첫콘러",9
"출발",9
"터치다운좌",9
"틋피스",9
"패배",9
"페어링",9
"한번",9
"현장",9
"현타",9
"개꿀",8
"만원",8
"머리",8
"베이베",8
"스탠",8
"스토어",8
"앙콘",8
"연결",8
"오지",8
"중간",8
"파도타기",8
"팬이벤트",8
"가서",7
"근처",7
"기억",7
"념글",7
"댓관",7
"덕분",7
"메들리",7
"뭔데",7
"부채",7
"분향소",7
"사실",7
"서울",7
"아침",7
"앞쪽",7
"얼음물",7
"연습",7
"올해",7
"옷걸이",7
"왤케",7
"월드투어",7
"유닛무대",7
"이랑",7
"일본인",7
"쯔위",7
"첫콘이",7
"콘서트장",7
"킹름법",7
"트붕이들아",7
"팬씨",7
"품절",7
"현수막",7
"공역",6
"글로벌콘서트",6
"눈물",6
"다음콘",6
"레츠고",6
"링크좀",6
"막콘러",6
"막콘러들",6
"맥도날드",6
"박스석",6
"배터리",6
"백팩",6
"번으로",6
"보닌",6
"불도저",6
"새끼들",6
"성공",6
"수록곡",6
"아원츄백",6
"안보",6
"앵콜때",6
"언제쯤",6
"에바",6
"원스들",6
"유닛",6
"일본",6
"지름길",6
"진심",6
"징징징징징",6
"챙갤",6
"추천",6
"턴인업",6
"하는거",6
"효갤",6
"가사",5
"가오나시",5
"감동",5
"갤창",5
"고나",5
"공연",5
"교환구함",5
"구역에",5
"기분",5
"기사",5
"나연포카로",5
"내년",5
"다리",5
"대리",5
"리얼리티",5
"링크",5
"맞음",5
"매진",5
"머님",5
"멘트",5
"뭔가",5
"미나",5
"믹스",5
"방러",5
"번대",5
"보배",5
"부스",5
"분위기",5
"사이드",5
"새끼",5
"생일축하",5
"셀카봉",5
"쇼퍼백",5
"숙소",5
"스포",5
"시바",5
"시즌",5
"여름",5
"영이",5
"우린",5
"음중좌",5
"음향",5
"응원봉",5
"이름",5
"이번콘서트",5
"인싸들",5
"일반",5
"자기",5
"작년",5
"정상",5
"젤리",5
"젵디봉",5
"질문좀",5
"키링",5
"턴잇업",5
"트갤꺼라",5
"특징",5
"파우치",5
"헤이",5
