"noun","n"
"검색좀",1
"검색쳐하고와",1
"검색하던거",1
"검색해",1
"게이",1
"결과",1
"겸손한거",1
"경영",1
"경우",1
"경쟁",1
"경제",1
"경찰",1
"경희대",1
"계란노른자",1
"계속",1
"계속먹음",1
"계속미는거냐",1
"계속손이감",1
"고간애",1
"고기집",1
"고깃집",1
"고깃집된장찌개",1
"고나리",1
"고나리도",1
"고나리하는거보고",1
"고닉기준임",1
"고닉실명",1
"고닉실명을",1
"고닉일시",1
"고닉추",1
"고닉추비율이",1
"고닉파고",1
"고대맛집알려줌",1
"고려대",1
"고민중",1
"고백",1
"고상한",1
"고소",1
"고소하면",1
"고야",1
"고인물들이",1
"고인별",1
"고척돔",1
"고척돔입성가능",1
"고추장",1
"고춧가루풀어서",1
"고터역",1
"곤충채집",1
"골드무대",1
"공개되",1
"공구도안해서",1
"공구물품",1
"공구줄어딘가요",1
"공내새끼들도",1
"공내짤만",1
"공내찍덕놈들",1
"공내찍덕이라고",1
"공내찍이",1
"공방",1
"공방띵단걸리면",1
"공방몰찍",1
"공식색",1
"공안",1
"공약",1
"공역",1
"공연",1
"공연관람가능",1
"공연장",1
"공연하면",1
"공연한",1
"공연한게",1
"공유",1
"공지",1
"공짜로사주면",1
"공항",1
"관객수",1
"관련",1
"관리",1
"관심이좋아서",1
"관종새끼",1
"괌인거",1
"광고각이",1
"광선검",1
"광탈",1
"괜차나",1
"괜히받앗네",1
"교가되",1
"교대",1
"교양시간",1
"교차편집",1
"구글",1
"구라안치",1
"구에",1
"구역",1
"구역에도",1
"구찌",1
"구형기종",1
"국내",1
"국내공연장크기",1
"국내조증갤러리",1
"군필",1
"굴덩어리가나오내",1
"굿나잇",1
"굿바이",1
"굿즈줄",1
"궁금한게",1
"궁예해봐",1
"귓가",1
"그감성은",1
"그갤나눔러가",1
"그거머였더라",1
"그거아셈",1
"그냥보는거랑",1
"그당시",1
"그때되",1
"그래서오늘",1
"그만나대",1
"그만올려라",1
"그많던넘들이",1
"그분",1
"그새끼",1
"그새한명",1
"그지새끼들",1
"극과극",1
"극소수만했던거",1
"근대원래",1
"근데난",1
"근처",1
"글떴네",1
"글만봐도",1
"글삭제도안하고",1
"글쓰는거보면",1
"글짜일시",1
"글차이",1
"금액",1
"급식단",1
"급식들",1
"급식충",1
"기념품",1
"기대가능",1
"기분",1
"기사떴어",1
"기상천외한사람들",1
"기어",1
"기적",1
"기존",1
"기준",1
"기차",1
"기회",1
"기획한거",1
"긴버전",1
"길가",1
"길거리순대집",1
"김치냉장고",1
"깊갤",1
"깊갤도",1
"깊갤러이고",1
"깊갤뷴탕",1
"깊갤에서",1
"깊갤왜뜸",1
"깊갤하다",1
"깊갤하다가",1
"까페",1
"깐나",1
"깐덮논쟁",1
"깐랑캐",1
"깐랑캐들",1
"깐랑캐새끼들",1
"깐묘가",1
"깐묘라고하는거",1
"깐묘로만드네",1
"깔끔",1
"깨알꿀팁",1
"꺼내놔달라고",1
"꽉차던데",1
"꽉채우겠노",1
"꿀노챙",1
"끌올",1
"끌올을",1
"나갤은",1
"나눔러들도",1
"나눔러떡밥",1
"나눔러떡밥뭔데",1
"나눔러하는데",1
"나눔러할때",1
"나눔받을때",1
"나눔하나도못받고",1
"나눠먹는거",1
"나는항상",1
"나만의냉장고",1
"나모트갤에",1
"나봉시",1
"나봉쓰는",1
"나시끄러움",1
"나얼",1
"나연시",1
"나연시끝났으니까",1
"나연이",1
"나연이를",1
"나연이면",1
"나연찍덕",1
"나예",1
"나죽어",1
"나중",1
"나중에읽을만한",1
"난쟁여둔",1
"남겨놓길",1
"남부",1
"남자들",1
"남자새끼",1
"낮에갤질한넘들은",1
"낮잠잔",1
"내가찍은거",1
"내꺼",1
"내꺼충들은",1
"내뒤에여덕",1
"내려달래",1
"내부분열",1
"내사만원에대한",1
"내인거지",1
"내일",1
"냄새개조아",1
"냉장고",1
"너네",1
"너머",1
"너무많아서불편했음",1
"너무많이봄",1
"넣어줏세요",1
"네넴띤",1
"네이버",1
"년후",1
"념가니까",1
"념글가겟다",1
"념글가노",1
"념글같은념글이",1
"념글고닉추비율높은거",1
"념글에",1
"념글올려",1
"념글을",1
"념글행티켓",1
"념딸",1
"념딸러가",1
"념딸이",1
"념딸칠라했는데",1
"념불",1
"념올려도",1
"념올리더니",1
"노는거임",1
"노상방뇨",1
"노잼",1
"녹색레이져",1
"녹화",1
"놀란거",1
"농림축산식품부",1
"뇌절인데",1
"뇌절하는넘들",1
"뇌절하는새끼들",1
"누가",1
"누가가져올줄알고",1
"누가걸었냐고",1
"누가그냥주작한줄알겠네",1
"누가상금걸",1
"누가씀",1
"누가한거",1
"누구누구",1
"누굴",1
"눈돌아갔네",1
"눈물",1
"눈앞",1
"눈치까고",1
"눈치살살",1
"뉴디봉",1
"뉴비여용",1
"뉴비질문",1
"늘어난거",1
"능사",1
"늦잠자서못감",1
"니구",1
"니네",1
"니들프사안궁금하니까",1
"니씨발",1
"니어바이트와이스",1
"니여",1
"닉언글에",1
"다거르네",1
"다니드",1
"다뒤진갤",1
"다른사람들에",1
"다른팬들에게",1
"다매진",1
"다먹음",1
"다시",1
"다시보는데",1
"다시올려",1
"다어기는거아닌가",1
"다음공방",1
"다음콘하면",1
"다음티케팅",1
"다좋다라는넘",1
"다찍을수있어서자너",1
"다행",1
"다혀나생일축하해",1
"다현갤",1
"다현관련된거",1
"다현님",1
"다현생일축하",1
"다현아고마워",1
"다현이로",1
"다현이생",1
"다현이아님",1
"다현이올린걸로",1
"다현이임",1
"다현찍덕누나",1
"다현홈",1
"다횬아",1
"닥눈삼안한",1
"단발병",1
"단발윾",1
"단발쯔",1
"단체",1
"단토오오오방은",1
"단톡방메모했다",1
"단톡방뭐냐",1
"단톡방에서",1
"단톡방의심해봐야된다",1
"단톡방있나",1
"단톡방있다는거",1
"단톡방좀",1
"단톡방초대됨",1
"달달하게",1
"달달하구마이",1
"달달함",1
"달라진거잇음",1
"달서구",1
"닭발",1
"닭발먹었는데",1
"담에없애던지",1
"당연하지",1
"당첨노리",1
"당첨된사람들이랑",1
"당첨됨",1
"당첨자",1
"대가",1
"대낮",1
"대단",1
"대리구매하시",1
"대부분",1
"대부분이인싸",1
"대부분이트붕이",1
"대우",1
"대음김",1
"대장",1
"대팬즈",1
"대표",1
"대황슼",1
"댓관와줘",1
"댓글다는",1
"댓글달아라",1
"댓글에",1
"댓남겼더니",1
"댓달",1
"더쇼",1
"덕계못",1
"덕분",1
